aX,aY,aZ,gX,gY,gZ
0.938,0.009,-0.334,0.305,-0.61,-1.282
0.936,0.005,-0.327,-0.305,-0.183,-1.099
0.934,0,-0.32,0.061,-0.183,-1.465
0.22,-2.182,-0.547,-103.943,39.307,-37.72
0.234,-2.229,-0.649,-97.168,31.25,22.034
0.195,-1.924,-0.556,-49.133,10.071,150.146
0.163,-1.42,-0.385,-6.958,-11.719,243.713
0.194,-1.14,-0.325,3.723,-20.02,273.315
0.431,-0.59,-0.22,26.428,-26.855,304.504
0.594,0.015,-0.126,60.242,-27.527,306.274
0.81,0.711,0.004,90.149,-16.968,284.729
0.884,1.094,0.079,91.125,-11.108,267.639
1.012,1.793,0.122,48.889,-0.854,210.449
1.019,2.227,-0.13,-20.447,16.968,113.525
0.992,2.235,-0.309,-42.786,19.409,46.936
0.951,1.874,-0.435,-40.466,0.488,-106.079
0.837,1.302,-0.296,-14.038,-20.691,-237.183
0.677,0.527,-0.141,9.521,-27.344,-327.82
0.549,0.081,-0.062,15.503,-24.902,-355.652
0.314,-0.937,0.007,1.16,-9.094,-366.089
0.107,-2.114,-0.257,-59.326,28.32,-286.682
0.197,-2.758,-0.562,-90.21,37.292,-211.67
0.32,-3.053,-0.984,-81.055,27.588,-5.859
0.1,-2.253,-0.577,-1.282,3.662,195.679
0.069,-1.786,-0.42,17.883,-3.174,259.827
0.238,-0.922,-0.338,33.997,-10.864,328.369
0.501,-0.119,-0.258,74.219,-11.597,343.567
0.607,0.311,-0.254,96.13,-16.663,334.595
0.796,1.278,0.155,122.986,-20.996,320.862
0.899,2.391,0.379,41.199,-15.625,249.634
0.934,2.652,0.14,-30.64,6.104,187.683
0.903,2.534,-0.561,-87.585,33.63,13.184
0.911,2.102,-0.601,-19.775,4.639,-176.514
0.878,1.771,-0.43,8.728,-11.719,-250.671
0.821,0.938,-0.131,19.226,-27.527,-338.928
0.576,-0.054,-0.012,-10.376,-18.799,-357.056
0.468,-0.591,-0.08,-47.485,1.526,-322.449
0.305,-1.667,-0.179,-66.833,15.564,-280.029
0.336,-2.573,-0.601,-86.426,29.541,-149.353
0.322,-2.655,-0.741,-51.819,16.296,18.005
0.287,-2.352,-0.613,-23.682,3.235,96.863
0.335,-1.605,-0.365,11.292,-10.986,213.135
0.427,-0.758,-0.224,37.231,-15.015,266.785
0.717,-0.374,-0.143,55.298,-11.78,276.306
0.82,0.6,0.019,77.087,-3.418,270.996
0.951,1.47,0.089,48.096,15.076,221.863
0.982,1.794,-0.043,18.188,25.146,179.321
1.046,2.152,-0.413,-17.334,40.222,64.392
1.052,2.14,-0.529,1.465,28.381,-77.209
1.042,1.842,-0.484,13.306,18.616,-143.066
0.99,1.228,-0.301,11.719,1.892,-240.356
0.918,0.86,-0.227,0.366,-1.709,-284.424
0.68,0.059,-0.17,-27.527,-1.16,-292.48
0.399,-0.842,-0.13,-44.067,6.287,-281.799
0.262,-1.872,-0.347,-65.247,33.081,-216.187
0.277,-2.284,-0.558,-70.557,34.973,-87.952
0.336,-2.527,-0.735,-44.8,26.855,-8.667
0.288,-1.943,-0.54,-4.395,-3.418,135.62
0.39,-1.191,-0.412,15.747,-19.043,223.267
0.492,-0.801,-0.353,27.283,-25.146,243.713
0.755,0.059,-0.107,50.72,-27.222,249.023
0.865,0.925,-0.012,34.729,-17.09,207.642
0.955,1.202,-0.081,15.076,-9.644,169.556
1.016,1.498,-0.379,-5.737,-2.93,71.045
1.067,1.497,-0.463,13.062,-16.235,-40.833
1.128,1.26,-0.405,22.888,-25.146,-86.914
1.096,0.862,-0.264,19.226,-34.79,-144.836
0.978,0.381,-0.158,-8.24,-32.532,-163.818
0.904,0.13,-0.116,-21.79,-28.992,-164.246
0.762,-0.313,-0.081,-39.49,-18.25,-153.564
0.654,-0.616,-0.123,-39.978,-3.784,-132.141
0.613,-0.846,-0.198,-31.25,4.333,-104.553
0.577,-0.901,-0.241,-25.024,4.517,-88.074
0.599,-0.946,-0.274,-11.047,-1.709,-49.927
0.61,-0.852,-0.278,3.662,-14.648,-13.306
0.622,-0.782,-0.291,10.193,-22.522,1.282
0.634,-0.642,-0.313,22.766,-37.72,24.231
0.665,-0.526,-0.293,34.546,-50.354,33.691
0.724,-0.454,-0.257,39.856,-54.932,33.203
0.761,-0.315,-0.2,51.453,-63.171,23.499
0.765,-0.282,-0.168,63.843,-69.275,10.254
0.778,-0.274,-0.156,69.58,-70.007,4.517
0.824,-0.278,-0.137,80.933,-68.604,-5.188
0.882,-0.261,-0.104,87.769,-66.956,-7.629
0.906,-0.259,-0.091,86.731,-66.345,-5.432
0.927,-0.241,-0.073,77.148,-64.209,2.502
0.966,-0.193,-0.066,66.223,-59.57,9.705
0.998,-0.155,-0.057,60.852,-56.152,12.146
1.083,-0.088,-0.036,51.27,-51.514,11.597
1.191,-0.046,-0.033,43.64,-50.476,5.432
1.208,-0.053,-0.044,38.818,-48.645,2.38
1.204,-0.068,-0.049,28.503,-41.138,-0.854
1.238,-0.079,-0.048,20.203,-36.56,-3.296
1.269,-0.08,-0.05,15.93,-34.79,-3.662
1.284,-0.078,-0.043,7.324,-30.029,-2.136
1.25,-0.099,-0.031,0.977,-20.935,-0.488
1.24,-0.109,-0.031,-0.427,-16.663,-0.793
1.21,-0.141,-0.014,0.549,-10.071,-0.366
1.179,-0.148,-0.015,0.244,-2.869,2.502
1.161,-0.142,-0.029,-1.465,15.381,5.981
1.102,-0.141,-0.038,-3.723,1.892,6.165
1.072,-0.141,-0.039,-4.578,2.869,4.517
1.052,-0.144,-0.037,-5.005,3.723,3.601
1.011,-0.161,-0.014,-6.165,5.493,0.732
0.989,-0.19,-0.034,-8.606,7.019,-2.502
0.981,-0.2,-0.046,-8.85,7.507,-3.479
0.962,-0.22,-0.049,-7.751,7.874,-4.822
0.964,-0.24,-0.052,-9.46,7.751,-4.456
0.96,-0.243,-0.047,-10.132,7.507,-2.502
0.957,-0.247,-0.05,-10.132,7.324,-1.709
0.946,-0.248,-0.058,-10.559,7.812,0.793
