aX,aY,aZ,gX,gY,gZ
-1.664,0.131,1.068,-185.547,679.749,10.01
-1.312,-0.148,0.176,-182.922,643.372,-3.601
-1.229,-0.255,-0.492,-240.417,554.871,-5.066
-1.231,-0.188,-0.845,-268.005,468.018,-10.925
-1.308,0.041,-1.294,-195.801,414.795,-38.818
-1.026,-0.416,-1.034,-140.137,370.117,-73.975
-0.806,-0.564,-1.193,-165.833,321.35,-75.012
-0.74,-0.566,-1.334,-152.039,294.495,-70.19
-0.486,-0.688,-1.419,-110.657,283.813,-64.209
-0.214,-0.782,-1.547,-87.036,262.573,-49.927
-0.089,-0.794,-1.639,-71.777,237.854,-28.076
-0.035,-0.72,-1.766,-66.101,209.045,-6.836
-0.056,-0.51,-1.94,-52.551,185.12,11.719
-0.017,-0.325,-1.964,-19.653,163.33,24.475
0.046,-0.066,-1.869,-2.319,123.718,30.09
0.077,0.176,-1.613,4.761,74.341,20.264
0.126,0.236,-1.266,12.024,33.264,-1.465
0.204,0.201,-0.963,13.611,10.254,-14.648
0.256,0.147,-0.792,9.827,5.127,-16.663
0.303,0.115,-0.8,3.967,11.597,-10.437
0.328,0.109,-0.851,2.014,15.869,-4.028
0.314,0.129,-0.886,-0.61,12.878,-3.54
0.321,0.127,-0.951,0.854,11.475,-4.333
0.316,0.086,-0.965,5.432,3.723,-3.845
0.325,0.114,-0.974,2.075,-7.324,-4.333
0.317,0.191,-0.94,2.014,-12.268,-4.089
0.331,0.212,-0.924,3.357,-13.855,-4.333
0.349,0.221,-0.883,6.714,-13.794,-6.897
0.38,0.212,-0.886,7.446,-10.681,-9.399
0.398,0.212,-0.902,8.606,-8.545,-9.827
0.409,0.195,-0.903,10.01,-6.165,-10.803
0.421,0.177,-0.908,7.874,-5.615,-9.949
0.42,0.169,-0.916,3.845,-7.446,-10.315
0.418,0.172,-0.924,0.61,-7.935,-8.545
0.418,0.18,-0.911,0.854,-7.935,-8.24
0.41,0.195,-0.898,0.305,-8.728,-8.057
0.4,0.207,-0.894,2.808,-5.798,-7.812
0.414,0.192,-0.894,5.371,-3.174,-7.69
0.412,0.181,-0.896,3.174,-3.967,-5.005
0.409,0.192,-0.895,1.892,-3.784,-4.395
0.405,0.185,-0.89,2.625,-2.319,-3.723
0.4,0.191,-0.893,2.258,-1.099,-3.662
0.409,0.187,-0.891,3.845,-1.282,-4.15
0.424,0.16,-0.87,2.625,-2.93,-3.479
0.426,0.15,-0.876,0.916,-4.517,-3.174
0.415,0.158,-0.893,-2.319,-4.883,-2.319
0.423,0.165,-0.892,-0.427,-3.906,-0.793
0.407,0.172,-0.897,1.099,-2.869,0.366
0.412,0.183,-0.907,3.662,-0.793,0.488
0.411,0.2,-0.896,6.287,-1.343,0.122
0.413,0.206,-0.891,8.301,-2.075,-1.892
0.429,0.201,-0.858,9.583,-2.075,-1.892
0.438,0.2,-0.841,4.822,-3.906,-2.136
0.433,0.206,-0.845,0.427,-4.944,-2.441
0.436,0.204,-0.85,0.183,-4.211,-2.258
0.438,0.189,-0.856,0.61,-2.869,-2.075
0.433,0.194,-0.879,-0.244,-1.648,-0.916
0.43,0.201,-0.888,0.793,-1.221,-1.038
0.44,0.19,-0.881,1.526,-1.16,-1.282
0.436,0.194,-0.882,-0.366,-2.258,-0.732
0.433,0.211,-0.885,-0.671,-1.892,-0.183
0.44,0.208,-0.878,1.343,-1.282,-0.793
0.448,0.192,-0.863,1.587,-1.404,-0.854
0.445,0.192,-0.867,-0.549,-1.404,-0.488
0.432,0.204,-0.873,0.244,-0.122,0
0.448,0.195,-0.875,1.16,0.732,-1.282
0.445,0.187,-0.871,0.061,-0.061,-1.221
0.437,0.187,-0.872,-0.488,0.061,-0.977
0.443,0.185,-0.886,-0.488,0.671,-0.183
0.44,0.189,-0.885,0.488,0.061,-0.488
0.436,0.194,-0.887,1.038,-0.183,-1.16
