aX,aY,aZ,gX,gY,gZ
-0.058,-0.869,0.533,-3.479,2.563,0.488
-0.059,-0.859,0.539,-3.54,2.075,-0.793
-0.048,-0.866,0.536,-4.639,2.563,-0.793
-0.056,-0.885,0.535,-4.272,2.747,-0.793
-0.056,-0.884,0.544,-2.197,2.319,-0.671
-0.05,-0.868,0.542,-2.014,3.601,0.122
-0.053,-0.856,0.54,0.793,4.272,-0.366
-0.055,-0.871,0.525,1.16,4.517,-1.282
-0.061,-0.872,0.511,0.793,4.639,-0.61
-0.065,-0.861,0.51,0.671,3.54,-0.305
-0.06,-0.855,0.518,-0.61,2.136,0.122
-0.057,-0.837,0.527,-1.282,1.099,0.549
-0.053,-0.829,0.525,1.77,0.671,-1.404
-0.045,-0.845,0.518,3.662,1.465,-3.479
-0.059,-0.872,0.527,2.075,0.854,-2.686
-0.056,-0.882,0.531,0.488,0.977,-2.197
-0.069,-0.881,0.532,-0.854,1.892,-1.038
-0.062,-0.88,0.514,-0.122,1.77,-0.671
-0.066,-0.879,0.524,1.526,-0.183,-1.343
-0.06,-0.886,0.53,-1.16,-0.366,-1.16
-0.067,-0.894,0.524,-0.549,-0.366,0.244
-0.062,-0.894,0.523,1.221,-0.671,0.183
-0.053,-0.877,0.536,3.845,-0.671,0.122
-0.052,-0.863,0.532,-0.427,0.366,1.648
-0.061,-0.859,0.537,-1.282,-0.183,1.587
-0.063,-0.865,0.536,0.854,-0.122,0.122
-0.071,-0.862,0.516,2.563,0.854,0.122
-0.071,-0.836,0.503,2.747,0.549,0.488
-0.068,-0.831,0.5,2.075,-0.061,-0.732
-0.054,-0.818,0.514,2.258,-2.502,-1.526
-0.041,-0.824,0.538,0.732,-3.052,-2.563
-0.051,-0.852,0.545,0.488,-1.648,-3.174
-0.057,-0.869,0.538,1.465,-0.305,-3.113
-0.056,-0.88,0.53,2.625,0.549,-2.808
-0.059,-0.876,0.523,1.404,0.427,-1.892
-0.063,-0.873,0.528,-0.488,0.488,-1.038
-0.064,-0.872,0.538,-0.183,-0.61,-1.099
-0.057,-0.872,0.551,1.038,-0.427,-2.136
-0.055,-0.873,0.542,0.427,1.038,-1.77
-0.068,-0.885,0.53,0.793,1.221,-1.953
-0.072,-0.891,0.531,1.892,0.916,-1.953
-0.073,-0.892,0.534,2.38,0.244,-2.075
-0.073,-0.897,0.535,2.319,0.427,-1.465
1.621,-1.054,-0.368,-40.283,8.179,-48.218
2.137,-1.096,-0.711,-100.83,-12.085,-59.143
2.246,-1.297,-0.945,-202.881,-36.743,-56.885
2.114,-1.52,-0.646,-322.571,-51.208,-42.053
2.119,-1.579,-0.3,-423.645,-17.517,-13.428
1.858,-1.271,0.105,-441.345,19.836,-3.967
1.193,-0.681,0.436,-411.255,61.523,-17.334
0.41,0.18,0.536,-399.841,110.901,-36.621
-0.439,0.585,0.532,-441.101,134.827,-52.49
-1.495,0.621,0.351,-484.253,88.928,-31.677
-2.142,0.591,0.512,-381.714,-43.152,-0.488
-2.13,0.777,1.125,-195.251,-135.193,33.02
-2.048,1,1.75,-72.021,-143.25,65.308
-1.687,1.003,2.136,-38.086,-104.98,64.27
-1.273,0.799,2.086,-42.664,-50.049,20.569
-0.56,0.022,1.76,-38.94,-3.54,-32.959
-0.281,-0.244,0.626,-9.277,31.006,-43.823
-0.277,-0.129,0.548,3.784,56.152,18.677
-0.247,0.169,0.756,-4.089,60.059,50.598
-0.072,0.342,0.884,-22.583,26.245,73.792
0.05,0.359,1.004,-15.015,22.827,58.655
0.061,0.292,1.033,1.831,30.457,43.091
0.014,0.232,0.996,14.587,35.095,36.072
-0.008,0.208,0.94,18.372,35.156,27.954
-0.046,0.135,0.843,24.17,29.541,22.522
-0.018,0.077,0.819,27.039,16.907,16.479
0.009,0.083,0.89,24.292,3.052,14.343
0.056,0.107,0.961,16.296,-3.601,13.672
0.11,0.128,0.973,12.39,-4.639,10.681
0.128,0.165,0.951,12.268,-3.357,8.057
0.138,0.198,0.927,11.963,-4.211,5.249
0.139,0.195,0.917,10.559,-6.653,-0.977
0.153,0.15,0.944,10.071,-9.766,-3.723
0.135,0.102,1.008,6.104,-17.334,-5.798
0.142,0.045,1.058,3.479,-18.005,-8.545
0.138,-0.021,1.069,5.127,-12.695,-8.667
0.144,-0.032,1.025,9.766,-3.235,-6.653
0.108,-0.032,0.99,10.132,3.357,-4.456
0.1,-0.027,0.97,5.188,5.127,-1.282
0.096,-0.023,0.943,-3.906,3.662,0.061
0.092,-0.025,0.95,-1.953,-0.916,0.366
0.118,-0.022,0.979,1.221,-4.639,0.977
0.123,0.002,1.009,3.113,-5.493,3.296
0.124,0.018,1.027,3.296,-2.197,0.427
0.136,-0.003,1.02,2.502,0.488,-1.221
0.129,-0.009,0.984,1.465,2.869,-0.244
0.129,-0.002,0.979,4.639,1.343,-0.305
0.143,0.015,1.003,4.822,0.183,0.122
0.149,0.011,1.014,1.526,0.671,2.075
0.145,0.007,1.002,-1.77,1.404,2.075
